date,exchange_rate
2024-01-01,83.20285
2024-01-02,83.257457
2024-01-03,83.318241
2024-01-04,83.249557
2024-01-05,83.1898
2024-01-06,83.1898
2024-01-07,83.173672
2024-01-08,83.060549
2024-01-09,83.131354
2024-01-10,83.014147
2024-01-11,83.073841
2024-01-12,82.87945
2024-01-13,82.87945
2024-01-14,82.874559
2024-01-15,82.859651
2024-01-16,83.089441
2024-01-17,83.133848
2024-01-18,83.164403
2024-01-19,83.12235
2024-01-20,83.12235
2024-01-21,83.126373
2024-01-22,83.095359
2024-01-23,83.221646
2024-01-24,83.105654
2024-01-25,83.14895
2024-01-26,83.1177
2024-01-27,83.1177
2024-01-28,83.118485
2024-01-29,83.153345
2024-01-30,83.11095
2024-01-31,83.053854
2024-02-01,82.941053
2024-02-02,83.00095
2024-02-03,83.00095
2024-02-04,82.99867
2024-02-05,83.045446
2024-02-06,83.070653
2024-02-07,82.98855
2024-02-08,82.982758
2024-02-09,83.01474
2024-02-10,83.01474
2024-02-11,83.012308
2024-02-12,82.990447
2024-02-13,83.065149
2024-02-14,83.01535
2024-02-15,83.009844
2024-02-16,83.0143
2024-02-17,83.0143
2024-02-18,83.014085
2024-02-19,83.020653
2024-02-20,82.866839
2024-02-21,82.937854
2024-02-22,82.872539
2024-02-23,82.88195
2024-02-24,82.88195
2024-02-25,82.883226
2024-02-26,82.852261
2024-02-27,82.944439
2024-02-28,82.912162
2024-02-29,82.914243
2024-03-01,82.84635
2024-03-02,82.84635
2024-03-03,82.846484
2024-03-04,82.911756
2024-03-05,82.885039
2024-03-06,82.819343
2024-03-07,82.723047
2024-03-08,82.752346
2024-03-09,82.752346
2024-03-10,82.755736
2024-03-11,82.778488
2024-03-12,82.835352
2024-03-13,82.833256
2024-03-14,82.965755
2024-03-15,82.89015
2024-03-16,82.89015
2024-03-17,82.889542
2024-03-18,82.90585
2024-03-19,83.018493
2024-03-20,83.05485
2024-03-21,83.215261
2024-03-22,83.593841
2024-03-23,83.593841
2024-03-24,83.603145
2024-03-25,83.417839
2024-03-26,83.334753
2024-03-27,83.360353
2024-03-28,83.394452
2024-03-29,83.383339
2024-03-30,83.383339
2024-03-31,83.376537
2024-04-01,83.412954
2024-04-02,83.35035
2024-04-03,83.373538
2024-04-04,83.481549
2024-04-05,83.297064
2024-04-06,83.297064
2024-04-07,83.297057
2024-04-08,83.27044
2024-04-09,83.224551
2024-04-10,83.413039
2024-04-11,83.349551
2024-04-12,83.611363
2024-04-13,83.611363
2024-04-14,83.611363
2024-04-15,83.50625
2024-04-16,83.667755
2024-04-17,83.59605
2024-04-18,83.545237
2024-04-19,83.3704
2024-04-20,83.3704
2024-04-21,83.385552
2024-04-22,83.390249
2024-04-23,83.282438
2024-04-24,83.340349
2024-04-25,83.284852
2024-04-26,83.40245
2024-04-27,83.40245
2024-04-28,83.402536
2024-04-29,83.444452
2024-04-30,83.498638
2024-05-01,83.406638
2024-05-02,83.40446
2024-05-03,83.3802
2024-05-04,83.3802
2024-05-05,83.38026
2024-05-06,83.518645
2024-05-07,83.464054
2024-05-08,83.464753
2024-05-09,83.462044
2024-05-10,83.54665
2024-05-11,83.54665
2024-05-12,83.525054
2024-05-13,83.505659
2024-05-14,83.523537
2024-05-15,83.404341
2024-05-16,83.475263
2024-05-17,83.30055
2024-05-18,83.30055
2024-05-19,83.300661
2024-05-20,83.3105
2024-05-21,83.317544
2024-05-22,83.275063
2024-05-23,83.286739
2024-05-24,83.058752
2024-05-25,83.058752
2024-05-26,83.052447
2024-05-27,83.146761
2024-05-28,83.206837
